,,,,,,,,,109年05月 2412 中華電           各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
109/05/04,"8,679,779","940,528,757",108.00,109.00,108.00,109.00,-0.50,"3,870",
109/05/05,"4,527,838","494,758,218",109.00,109.50,109.00,109.00, 0.00,"2,936",
109/05/06,"6,254,989","684,008,222",109.50,109.50,109.00,109.50,+0.50,"3,145",
109/05/07,"5,621,611","614,503,374",109.50,110.00,109.00,109.00,-0.50,"3,004",
109/05/08,"21,851,610","2,410,267,100",110.00,111.50,109.50,110.00,+1.00,"3,843",
109/05/11,"5,093,599","561,392,390",110.50,111.00,110.00,110.00, 0.00,"2,786",
109/05/12,"4,715,049","518,373,890",110.00,110.50,109.50,110.00, 0.00,"2,415",
109/05/13,"4,542,908","499,393,380",110.00,110.50,109.50,110.00, 0.00,"1,821",
109/05/14,"3,616,369","397,045,090",110.00,110.00,109.50,110.00, 0.00,"1,758",
109/05/15,"5,178,243","568,691,730",110.00,110.50,109.50,109.50,-0.50,"2,056",
109/05/18,"8,188,535","902,769,045",109.50,111.00,109.50,110.50,+1.00,"3,255",
109/05/19,"7,118,181","789,793,091",111.50,111.50,110.50,111.00,+0.50,"2,603",
109/05/20,"5,522,356","614,697,016",111.00,111.50,111.00,111.50,+0.50,"2,883",
109/05/21,"5,396,999","600,133,389",111.50,111.50,110.50,111.50, 0.00,"2,675",
109/05/22,"11,160,959","1,243,492,449",111.00,112.00,110.50,111.00,-0.50,"2,452",
109/05/25,"4,554,250","504,404,250",111.50,111.50,110.50,110.50,-0.50,"1,666",
109/05/26,"4,452,308","493,889,688",111.00,111.50,110.50,111.00,+0.50,"1,821",
109/05/27,"7,453,560","822,519,600",111.00,111.00,110.00,110.00,-1.00,"2,833",
109/05/28,"6,454,371","712,001,471",110.00,111.00,110.00,110.50,+0.50,"2,822",
109/05/29,"18,409,288","2,034,098,794",110.50,111.50,110.00,110.50, 0.00,"3,522",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
