,,,,,,,,,111年10月 0050 元大台灣50       各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
111/10/03,"11,975,969","1,228,448,047",102.50,103.60,102.05,102.20,-1.25,"21,869",
111/10/04,"7,833,142","819,071,391",104.55,104.80,104.10,104.80,+2.60,"9,472",
111/10/05,"11,194,438","1,200,114,972",106.50,107.85,106.35,107.25,+2.45,"14,935",
111/10/06,"8,691,035","937,261,167",107.80,108.00,107.50,108.00,+0.75,"9,150",
111/10/07,"9,160,530","976,696,727",107.40,107.40,106.10,106.20,-1.80,"12,082",
111/10/11,"34,441,616","3,486,069,852",102.00,102.15,100.50,100.70,-5.50,"60,659",
111/10/12,"14,465,314","1,447,866,459",100.40,100.70,99.55,100.20,-0.50,"24,580",
111/10/13,"22,325,644","2,221,287,940",100.55,100.55,99.00,99.00,-1.20,"33,100",
111/10/14,"11,783,757","1,199,217,211",101.75,102.30,101.10,101.85,+2.85,"13,154",
111/10/17,"20,644,755","2,056,968,004",99.95,100.10,99.05,99.95,-1.90,"26,913",
111/10/18,"6,617,063","666,287,430",101.50,101.55,99.95,101.10,+1.15,"7,799",
111/10/19,"16,168,656","1,619,067,920",100.80,101.00,99.55,99.75,-1.35,"18,345",
111/10/20,"20,052,215","1,965,292,155",98.20,99.45,97.35,99.20,-0.55,"25,107",
111/10/21,"12,689,251","1,258,389,294",99.30,99.85,98.70,98.90,-0.30,"13,697",
111/10/24,"17,387,205","1,726,288,183",100.75,100.80,98.60,98.60,-0.30,"11,595",
111/10/25,"21,366,539","2,076,591,671",98.60,98.60,96.50,96.70,-1.90,"29,831",
111/10/26,"11,205,246","1,090,637,092",96.85,98.00,96.50,97.60,+0.90,"10,428",
111/10/27,"8,254,594","817,258,776",98.50,99.35,98.50,99.00,+1.40,"8,458",
111/10/28,"12,102,185","1,184,927,619",98.60,98.60,97.25,97.75,-1.25,"16,292",
111/10/31,"10,298,898","1,018,326,324",98.85,99.35,98.10,99.05,+1.30,"7,670",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
