,,,,,,,,,111年08月 0050 元大台灣50       各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
111/08/01,"9,841,470","1,157,739,155",118.10,118.10,117.20,117.65,-0.35,"8,720",
111/08/02,"18,600,451","2,149,115,164",116.55,116.55,115.10,115.55,-2.10,"22,146",
111/08/03,"8,100,057","939,263,431",115.65,116.25,115.50,116.25,+0.70,"7,600",
111/08/04,"7,108,342","826,140,065",116.35,116.80,115.20,116.55,+0.30,"7,988",
111/08/05,"9,625,538","1,143,739,838",118.00,119.50,117.90,119.50,+2.95,"10,809",
111/08/08,"8,966,011","1,066,313,383",119.00,119.25,118.30,119.25,-0.25,"10,279",
111/08/09,"8,186,879","971,998,418",118.40,119.50,118.00,119.15,-0.10,"9,920",
111/08/10,"7,796,649","919,415,561",118.00,118.20,117.50,117.90,-1.25,"13,624",
111/08/11,"10,957,384","1,314,562,900",119.80,120.45,119.60,120.05,+2.15,"8,947",
111/08/12,"8,598,361","1,038,027,809",120.55,121.00,120.30,120.80,+0.75,"7,656",
111/08/15,"9,837,499","1,198,033,224",121.45,122.10,121.25,121.90,+1.10,"10,575",
111/08/16,"10,114,278","1,235,256,112",122.00,122.30,121.90,122.10,+0.20,"10,769",
111/08/17,"14,115,407","1,723,131,119",122.10,122.30,121.80,122.15,+0.05,"14,681",
111/08/18,"5,637,817","683,651,223",121.40,121.45,120.95,121.35,-0.80,"9,013",
111/08/19,"4,315,583","523,948,759",121.25,122.00,120.90,121.55,+0.20,"7,401",
111/08/22,"8,972,758","1,076,431,037",120.00,120.25,119.70,119.80,-1.75,"19,855",
111/08/23,"11,095,739","1,314,798,887",118.55,119.00,118.20,118.20,-1.60,"18,728",
111/08/24,"7,558,746","892,619,974",118.80,118.95,117.65,117.90,-0.30,"12,385",
111/08/25,"5,143,118","611,992,350",118.50,119.45,118.45,119.00,+1.10,"6,976",
111/08/26,"10,173,674","1,219,207,855",119.85,120.10,119.45,119.60,+0.60,"7,601",
111/08/29,"17,248,914","2,007,953,600",116.25,116.95,116.00,116.55,-3.05,"31,024",
111/08/30,"12,722,112","1,482,741,825",116.55,117.20,116.20,116.75,+0.20,"14,210",
111/08/31,"7,324,798","854,472,563",115.95,117.60,115.80,117.60,+0.85,"8,421",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
