,,,,,,,,,111年09月 0050 元大台灣50       各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
111/09/01,"23,181,870","2,670,144,230",115.50,115.60,114.75,115.15,-2.45,"41,161",
111/09/02,"15,351,769","1,755,500,653",115.10,115.10,113.85,113.90,-1.25,"29,767",
111/09/05,"9,508,218","1,084,987,846",114.10,114.75,113.70,114.15,+0.25,"14,479",
111/09/06,"6,757,649","775,277,096",114.80,115.40,114.25,114.90,+0.75,"8,756",
111/09/07,"17,431,510","1,960,146,749",113.10,113.15,112.10,112.20,-2.70,"37,500",
111/09/08,"7,535,495","849,210,347",113.05,113.05,112.40,113.00,+0.80,"9,354",
111/09/12,"7,850,900","905,418,862",115.30,115.65,115.00,115.40,+2.40,"10,707",
111/09/13,"4,768,515","553,524,212",116.10,116.40,115.75,116.00,+0.60,"6,854",
111/09/14,"11,875,719","1,347,366,608",113.05,113.95,112.80,113.65,-2.35,"19,904",
111/09/15,"4,051,460","460,557,461",113.50,114.25,113.20,113.85,+0.20,"9,633",
111/09/16,"13,858,212","1,558,832,568",112.65,112.85,112.30,112.55,-1.30,"22,320",
111/09/19,"7,705,465","864,575,077",112.95,112.95,111.90,112.05,-0.50,"15,283",
111/09/20,"5,999,746","675,492,164",112.55,113.15,112.25,113.05,+1.00,"7,093",
111/09/21,"11,672,155","1,309,037,173",112.80,112.80,111.80,112.10,-0.95,"17,348",
111/09/22,"16,093,771","1,772,402,603",110.40,110.75,109.50,110.75,-1.35,"25,277",
111/09/23,"15,826,978","1,738,392,677",110.25,110.35,109.35,109.70,-1.05,"27,136",
111/09/26,"21,804,952","2,343,738,865",108.05,108.05,107.15,107.65,-2.05,"40,858",
111/09/27,"9,580,153","1,029,687,583",107.80,107.95,107.00,107.50,-0.15,"14,707",
111/09/28,"20,345,587","2,153,739,170",107.60,107.65,105.25,105.25,-2.25,"32,676",
111/09/29,"11,208,229","1,180,322,655",106.45,106.45,104.60,104.90,-0.35,"18,926",
111/09/30,"13,648,874","1,411,909,885",103.30,103.90,103.00,103.45,-1.45,"22,436",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
