,,,,,,,,,111年07月 0050 元大台灣50       各日成交資訊
日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,
111/07/01,"36,878,756","4,168,809,309",115.65,115.65,111.20,111.55,-4.25,"51,585",
111/07/04,"27,456,531","3,044,859,233",111.25,112.20,110.00,110.45,-1.10,"28,717",
111/07/05,"17,050,908","1,887,614,040",112.55,112.95,109.00,111.00,+0.55,"21,122",
111/07/06,"16,720,163","1,831,687,490",111.00,111.05,108.45,108.85,-2.15,"28,951",
111/07/07,"13,797,274","1,529,508,284",109.45,112.15,108.55,112.10,+3.25,"13,307",
111/07/08,"10,632,316","1,204,020,139",113.30,113.90,112.30,113.25,+1.15,"13,149",
111/07/11,"8,031,808","904,913,578",113.65,113.70,111.85,112.25,-1.00,"12,407",
111/07/12,"12,036,545","1,321,731,606",110.95,110.95,109.15,109.55,-2.70,"20,560",
111/07/13,"25,339,925","2,868,407,778",113.00,113.65,112.60,113.45,+3.90,"18,017",
111/07/14,"15,117,665","1,713,783,782",112.70,114.25,111.80,114.00,+0.55,"12,765",
111/07/15,"19,084,676","2,192,351,516",114.60,115.65,113.75,115.50,+1.50,"16,864",
111/07/18,"22,677,308","2,593,194,353",114.65,114.85,113.95,114.20,X0.00,"21,124",
111/07/19,"13,479,392","1,540,004,175",113.95,114.65,113.60,114.30,+0.10,"13,416",
111/07/20,"17,257,016","1,993,667,626",115.85,116.20,114.70,115.05,+0.75,"15,086",
111/07/21,"9,016,500","1,043,315,930",115.40,116.35,115.00,116.35,+1.30,"8,960",
111/07/22,"15,904,768","1,855,616,035",116.60,117.20,116.30,116.80,+0.45,"13,658",
111/07/25,"10,845,215","1,264,021,428",116.30,116.95,116.00,116.70,-0.10,"13,409",
111/07/26,"13,077,161","1,513,988,792",116.60,116.60,115.30,115.65,-1.05,"16,321",
111/07/27,"8,102,634","939,120,906",115.50,116.70,115.15,116.70,+1.05,"6,945",
111/07/28,"8,557,891","1,004,795,134",117.85,117.95,116.90,116.90,+0.20,"8,632",
111/07/29,"8,291,615","979,364,354",118.15,118.50,117.65,118.00,+1.10,"8,204",
說明:,,,,,,,,,
符號說明:+/-/X表示漲/跌/不比價,,,,,,,,,
當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。,,,,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,,,,
權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。,,,,,,,,,
